"id","substance_code_id/id"
hc_base.subs_code_3325005,hc_base.subs_code_3325005_hc_vs_substance_code
hc_base.subs_code_3340007,hc_base.subs_code_3340007_hc_vs_substance_code
hc_base.subs_code_3342004,hc_base.subs_code_3342004_hc_vs_substance_code
hc_base.subs_code_3378009,hc_base.subs_code_3378009_hc_vs_substance_code
hc_base.subs_code_3379001,hc_base.subs_code_3379001_hc_vs_substance_code
hc_base.subs_code_3411008,hc_base.subs_code_3411008_hc_vs_substance_code
hc_base.subs_code_3455002,hc_base.subs_code_3455002_hc_vs_substance_code
hc_base.subs_code_3466009,hc_base.subs_code_3466009_hc_vs_substance_code
hc_base.subs_code_3492002,hc_base.subs_code_3492002_hc_vs_substance_code
hc_base.subs_code_3493007,hc_base.subs_code_3493007_hc_vs_substance_code
hc_base.subs_code_3495000,hc_base.subs_code_3495000_hc_vs_substance_code
hc_base.subs_code_3501003,hc_base.subs_code_3501003_hc_vs_substance_code
hc_base.subs_code_3532002,hc_base.subs_code_3532002_hc_vs_substance_code
hc_base.subs_code_3555004,hc_base.subs_code_3555004_hc_vs_substance_code
hc_base.subs_code_3579002,hc_base.subs_code_3579002_hc_vs_substance_code
hc_base.subs_code_3581000,hc_base.subs_code_3581000_hc_vs_substance_code
hc_base.subs_code_3592004,hc_base.subs_code_3592004_hc_vs_substance_code
hc_base.subs_code_3597005,hc_base.subs_code_3597005_hc_vs_substance_code
hc_base.subs_code_3601005,hc_base.subs_code_3601005_hc_vs_substance_code
hc_base.subs_code_3617004,hc_base.subs_code_3617004_hc_vs_substance_code
hc_base.subs_code_3648007,hc_base.subs_code_3648007_hc_vs_substance_code
hc_base.subs_code_3684000,hc_base.subs_code_3684000_hc_vs_substance_code
hc_base.subs_code_3692009,hc_base.subs_code_3692009_hc_vs_substance_code
hc_base.subs_code_3702007,hc_base.subs_code_3702007_hc_vs_substance_code
hc_base.subs_code_3718001,hc_base.subs_code_3718001_hc_vs_substance_code
hc_base.subs_code_3730007,hc_base.subs_code_3730007_hc_vs_substance_code
hc_base.subs_code_3742002,hc_base.subs_code_3742002_hc_vs_substance_code
hc_base.subs_code_3757009,hc_base.subs_code_3757009_hc_vs_substance_code
hc_base.subs_code_3792001,hc_base.subs_code_3792001_hc_vs_substance_code
hc_base.subs_code_3793006,hc_base.subs_code_3793006_hc_vs_substance_code
hc_base.subs_code_3800009,hc_base.subs_code_3800009_hc_vs_substance_code
hc_base.subs_code_3807007,hc_base.subs_code_3807007_hc_vs_substance_code
hc_base.subs_code_3811001,hc_base.subs_code_3811001_hc_vs_substance_code
hc_base.subs_code_3812008,hc_base.subs_code_3812008_hc_vs_substance_code
hc_base.subs_code_3816006,hc_base.subs_code_3816006_hc_vs_substance_code
hc_base.subs_code_3823007,hc_base.subs_code_3823007_hc_vs_substance_code
hc_base.subs_code_3829006,hc_base.subs_code_3829006_hc_vs_substance_code
hc_base.subs_code_3834005,hc_base.subs_code_3834005_hc_vs_substance_code
hc_base.subs_code_3848005,hc_base.subs_code_3848005_hc_vs_substance_code
hc_base.subs_code_3849002,hc_base.subs_code_3849002_hc_vs_substance_code
hc_base.subs_code_3854006,hc_base.subs_code_3854006_hc_vs_substance_code
hc_base.subs_code_3874004,hc_base.subs_code_3874004_hc_vs_substance_code
hc_base.subs_code_3892007,hc_base.subs_code_3892007_hc_vs_substance_code
hc_base.subs_code_3896005,hc_base.subs_code_3896005_hc_vs_substance_code
hc_base.subs_code_3897001,hc_base.subs_code_3897001_hc_vs_substance_code
hc_base.subs_code_3906002,hc_base.subs_code_3906002_hc_vs_substance_code
hc_base.subs_code_3930000,hc_base.subs_code_3930000_hc_vs_substance_code
hc_base.subs_code_3932008,hc_base.subs_code_3932008_hc_vs_substance_code
hc_base.subs_code_3941003,hc_base.subs_code_3941003_hc_vs_substance_code
hc_base.subs_code_3945007,hc_base.subs_code_3945007_hc_vs_substance_code
hc_base.subs_code_3958008,hc_base.subs_code_3958008_hc_vs_substance_code
hc_base.subs_code_3961009,hc_base.subs_code_3961009_hc_vs_substance_code
hc_base.subs_code_3976001,hc_base.subs_code_3976001_hc_vs_substance_code
hc_base.subs_code_3983008,hc_base.subs_code_3983008_hc_vs_substance_code
hc_base.subs_code_4014000,hc_base.subs_code_4014000_hc_vs_substance_code
hc_base.subs_code_4024008,hc_base.subs_code_4024008_hc_vs_substance_code
hc_base.subs_code_4025009,hc_base.subs_code_4025009_hc_vs_substance_code
hc_base.subs_code_4043008,hc_base.subs_code_4043008_hc_vs_substance_code
hc_base.subs_code_4048004,hc_base.subs_code_4048004_hc_vs_substance_code
hc_base.subs_code_4076007,hc_base.subs_code_4076007_hc_vs_substance_code
hc_base.subs_code_4077003,hc_base.subs_code_4077003_hc_vs_substance_code
hc_base.subs_code_4091009,hc_base.subs_code_4091009_hc_vs_substance_code
hc_base.subs_code_4115002,hc_base.subs_code_4115002_hc_vs_substance_code
hc_base.subs_code_4137009,hc_base.subs_code_4137009_hc_vs_substance_code
hc_base.subs_code_4167003,hc_base.subs_code_4167003_hc_vs_substance_code
hc_base.subs_code_4169000,hc_base.subs_code_4169000_hc_vs_substance_code
hc_base.subs_code_4182008,hc_base.subs_code_4182008_hc_vs_substance_code
hc_base.subs_code_4200007,hc_base.subs_code_4200007_hc_vs_substance_code
hc_base.subs_code_4203009,hc_base.subs_code_4203009_hc_vs_substance_code
hc_base.subs_code_4217000,hc_base.subs_code_4217000_hc_vs_substance_code
hc_base.subs_code_4218005,hc_base.subs_code_4218005_hc_vs_substance_code
hc_base.subs_code_4231000,hc_base.subs_code_4231000_hc_vs_substance_code
hc_base.subs_code_4255005,hc_base.subs_code_4255005_hc_vs_substance_code
hc_base.subs_code_4289006,hc_base.subs_code_4289006_hc_vs_substance_code
hc_base.subs_code_4290002,hc_base.subs_code_4290002_hc_vs_substance_code
hc_base.subs_code_4314009,hc_base.subs_code_4314009_hc_vs_substance_code
hc_base.subs_code_4334005,hc_base.subs_code_4334005_hc_vs_substance_code
hc_base.subs_code_4342006,hc_base.subs_code_4342006_hc_vs_substance_code
hc_base.subs_code_4353000,hc_base.subs_code_4353000_hc_vs_substance_code
hc_base.subs_code_4355007,hc_base.subs_code_4355007_hc_vs_substance_code
hc_base.subs_code_4370008,hc_base.subs_code_4370008_hc_vs_substance_code
hc_base.subs_code_4393002,hc_base.subs_code_4393002_hc_vs_substance_code
hc_base.subs_code_4401009,hc_base.subs_code_4401009_hc_vs_substance_code
